trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790700,-0.009300,1.4200,-2.0300,6.3929,none,1.4200,0.0000,-1102.8340,9469.3540,4834.1920,-266.6779,2871.5387,1630.0740,10688.9813
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788900,-0.011100,1.4200,-2.0300,6.4809,none,1.4200,0.0000,-1104.6380,9471.1570,4836.1270,-268.4819,2873.3417,1632.0090,10691.6399
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788600,-0.011400,1.4200,-2.0300,6.5689,none,1.4200,0.0000,-1105.2380,9473.5620,4832.2560,-269.0819,2875.7467,1628.1380,10692.0824
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790600,-0.009400,1.4200,-2.0300,6.6580,none,1.4200,0.0000,-1103.4350,9471.7600,4823.5440,-267.2789,2873.9447,1619.4260,10686.3643
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789800,-0.010200,1.4200,-2.0300,6.7450,none,1.4200,0.0000,-1114.2530,9475.9620,4823.5440,-278.0969,2878.1467,1619.4260,10691.2110
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789700,-0.010300,1.4200,-2.0300,6.8335,none,1.4200,0.0000,-1102.8340,9469.3540,4830.3200,-266.6779,2871.5387,1626.2020,10687.2307
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.788700,-0.011300,1.4200,-2.0300,6.9215,none,1.4200,0.0000,-1108.2440,9465.7490,4835.1600,-272.0879,2867.9337,1631.0420,10686.7854
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789300,-0.010700,1.4200,-2.0300,7.0096,none,1.4200,0.0000,-1107.0410,9466.3510,4835.1600,-270.8849,2868.5357,1631.0420,10687.1939
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.789200,-0.010800,1.4200,-2.0300,7.0976,none,1.4200,0.0000,-1108.8450,9476.5600,4835.1600,-272.6889,2878.7447,1631.0420,10696.4246
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790000,-0.010000,1.4200,-2.0300,7.1855,none,1.4200,0.0000,-1111.8490,9468.1490,4833.2230,-275.6929,2870.3337,1629.1050,10688.4095
