trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.6603,1.935500,-1130.4800,9661.0720,2963.0480,-277.8968,3418.6546,875.1493,10168.2816
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.7484,1.937500,-1129.8790,9657.4710,2963.0480,-277.2958,3415.0536,875.1493,10164.7935
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.8363,1.932200,-1126.8740,9658.6710,2962.0800,-274.2908,3416.2536,874.1813,10165.3179
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,6.9245,1.941200,-1126.8740,9658.0640,2962.0800,-274.2908,3415.6466,874.1813,10164.7412
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.0126,1.941500,-1125.0710,9657.4710,2968.8550,-272.4878,3415.0536,880.9563,10165.9545
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.1005,1.934700,-1129.2780,9663.4770,2966.9200,-276.6948,3421.0596,879.0213,10171.5619
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.1889,1.930800,-1128.6770,9658.0640,2956.2720,-276.0938,3415.6466,868.3733,10163.2503
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.2767,1.933800,-1134.0860,9655.0610,2961.1110,-281.5028,3412.6436,873.2123,10162.4078
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.3646,1.927900,-1125.6720,9660.4690,2959.1750,-273.0888,3418.0516,871.2763,10166.0472
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.4527,1.928100,-1129.2780,9661.6740,2961.1110,-276.6948,3419.2566,873.2123,10168.1558
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.5410,1.936900,-1124.4700,9650.2550,2965.9530,-271.8868,3407.8376,878.0543,10158.1854
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.6288,1.940600,-1125.0710,9665.2800,2962.0800,-272.4878,3422.8626,874.1813,10171.3981
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.7168,1.941400,-1124.4700,9650.8580,2957.2400,-271.8868,3408.4406,869.3413,10156.2179
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.8049,1.935200,-1128.6770,9659.2690,2954.3360,-276.0938,3416.8516,866.4373,10163.8325
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.8928,1.932600,-1126.8740,9662.2720,2965.9530,-274.2908,3419.8546,878.0543,10169.8684
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,7.9811,1.942900,-1129.2780,9664.6770,2965.9530,-276.6948,3422.2596,878.0543,10172.4199
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.0692,1.942300,-1124.4700,9658.6710,2956.2720,-271.8868,3416.2536,868.3733,10163.3608
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.1571,1.934400,-1125.0710,9657.4710,2961.1110,-272.4878,3415.0536,873.2123,10163.6956
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.2451,1.934200,-1129.8790,9656.2660,2963.0480,-277.2958,3413.8486,875.1493,10163.6486
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.3335,1.931900,-1126.8740,9656.2660,2957.2400,-274.2908,3413.8486,869.3413,10161.6232
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.4215,1.935900,-1128.6770,9655.6630,2964.9840,-276.0938,3413.2456,877.0853,10163.5068
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.5098,1.941900,-1127.4750,9659.2690,2961.1110,-274.8918,3416.8516,873.2123,10165.6705
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.5975,1.932300,-1125.6720,9660.4690,2959.1750,-273.0888,3418.0516,871.2763,10166.0472
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.6856,1.934700,-1128.0760,9654.4630,2959.1750,-275.4928,3412.0456,871.2763,10160.6067
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.7748,1.939500,-1130.4800,9653.8560,2961.1110,-277.8968,3411.4386,873.2123,10160.8611
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.8618,1.938500,-1122.6670,9658.0640,2967.8880,-270.0838,3415.6466,879.9893,10165.9697
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,8.9497,1.929800,-1126.2730,9660.4690,2964.0150,-273.6898,3418.0516,876.1163,10167.5236
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.0381,1.928300,-1129.2780,9660.4690,2959.1750,-276.6948,3418.0516,871.2763,10166.4471
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.1259,1.931800,-1128.6770,9658.0640,2959.1750,-276.0938,3415.6466,871.2763,10164.0951
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.2140,1.930000,-1129.8790,9653.8560,2961.1110,-277.2958,3411.4386,873.2123,10160.7943
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.3022,1.931400,-1130.4800,9659.2690,2964.0150,-277.8968,3416.8516,876.1163,10166.8504
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.3904,1.928400,-1126.8740,9655.0610,2959.1750,-274.2908,3412.6436,871.2763,10161.0415
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.4783,1.922200,-1126.8740,9661.0720,2960.1440,-274.2908,3418.6546,872.2453,10167.0354
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.5663,1.937000,-1131.0810,9659.2690,2960.1440,-278.4978,3416.8516,872.2453,10165.7894
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,9.6543,1.943000,-1127.4750,9658.0640,2962.0800,-274.8918,3415.6466,874.1813,10164.8078
