Bx_uT,By_uT,Bz_uT
2.301300000000000182e+03,3.896550000000000182e+03,6.240935999999999694e+03
2.300550000000000182e+03,3.895949999999999818e+03,6.239967999999999847e+03
2.301599999999999909e+03,3.895800000000000182e+03,6.246262999999999920e+03
2.301449999999999818e+03,3.896699999999999818e+03,6.242873999999999796e+03
2.301449999999999818e+03,3.896699999999999818e+03,6.242390999999999622e+03
2.300398999999999887e+03,3.896849999999999909e+03,6.250858000000000175e+03
2.301449999999999818e+03,3.897148999999999887e+03,6.244813000000000102e+03
2.302349999999999909e+03,3.896849999999999909e+03,6.251586000000000240e+03
2.300849999999999909e+03,3.896849999999999909e+03,6.245295000000000073e+03
2.300849999999999909e+03,3.895800000000000182e+03,6.257877000000000407e+03
2.300849999999999909e+03,3.896398999999999887e+03,6.254006999999999607e+03
2.301599999999999909e+03,3.897449999999999818e+03,6.248198999999999614e+03
2.301750000000000000e+03,3.896099999999999909e+03,6.249893000000000029e+03
2.301000000000000000e+03,3.895949999999999818e+03,6.241422999999999774e+03
2.301000000000000000e+03,3.896398999999999887e+03,6.247712000000000444e+03
2.301148999999999887e+03,3.897000000000000000e+03,6.247470999999999549e+03
2.300699999999999818e+03,3.897000000000000000e+03,6.254006999999999607e+03
2.300699999999999818e+03,3.896099999999999909e+03,6.245052999999999884e+03
2.300099999999999909e+03,3.895199999999999818e+03,6.250858000000000175e+03
2.300699999999999818e+03,3.895050000000000182e+03,6.241905999999999949e+03
2.300250000000000000e+03,3.895800000000000182e+03,6.245052999999999884e+03
2.300550000000000182e+03,3.895199999999999818e+03,6.247230999999999767e+03
2.299949999999999818e+03,3.895199999999999818e+03,6.246262999999999920e+03
2.300550000000000182e+03,3.895800000000000182e+03,6.253521999999999935e+03
2.300099999999999909e+03,3.896849999999999909e+03,6.249167000000000371e+03
2.301300000000000182e+03,3.895800000000000182e+03,6.242873999999999796e+03
2.299949999999999818e+03,3.895949999999999818e+03,6.241905999999999949e+03
2.301300000000000182e+03,3.896099999999999909e+03,6.246503999999999905e+03
2.300849999999999909e+03,3.896849999999999909e+03,6.259329999999999927e+03
2.301000000000000000e+03,3.895949999999999818e+03,6.250858000000000175e+03
2.300398999999999887e+03,3.896398999999999887e+03,6.252070999999999913e+03
2.300398999999999887e+03,3.894898999999999887e+03,6.255457999999999629e+03
2.299949999999999818e+03,3.896550000000000182e+03,6.261264000000000124e+03
2.300250000000000000e+03,3.896250000000000000e+03,6.247470999999999549e+03
2.299500000000000000e+03,3.896550000000000182e+03,6.253521999999999935e+03
2.300398999999999887e+03,3.896849999999999909e+03,6.255216000000000349e+03
2.302500000000000000e+03,3.897300000000000182e+03,6.243359000000000378e+03
2.302050000000000182e+03,3.896849999999999909e+03,6.256668999999999869e+03
2.301898999999999887e+03,3.897750000000000000e+03,6.243600000000000364e+03
2.301148999999999887e+03,3.897599999999999909e+03,6.259814999999999600e+03
2.301599999999999909e+03,3.896099999999999909e+03,6.239967999999999847e+03
2.302199999999999818e+03,3.897000000000000000e+03,6.253279999999999745e+03
2.301750000000000000e+03,3.897000000000000000e+03,6.254734999999999673e+03
2.301599999999999909e+03,3.896699999999999818e+03,6.246262999999999920e+03
2.301148999999999887e+03,3.896250000000000000e+03,6.252311999999999898e+03
2.301599999999999909e+03,3.896398999999999887e+03,6.257152000000000044e+03
2.301000000000000000e+03,3.895648999999999887e+03,6.257152000000000044e+03
2.300250000000000000e+03,3.896099999999999909e+03,6.255216000000000349e+03
2.299648999999999887e+03,3.895500000000000000e+03,6.254247999999999593e+03
2.300250000000000000e+03,3.896699999999999818e+03,6.244813000000000102e+03
2.300550000000000182e+03,3.896398999999999887e+03,6.257877000000000407e+03
2.300398999999999887e+03,3.896250000000000000e+03,6.235855999999999767e+03
2.300849999999999909e+03,3.896398999999999887e+03,6.236582999999999629e+03
2.300250000000000000e+03,3.896398999999999887e+03,6.242873999999999796e+03
2.301300000000000182e+03,3.896550000000000182e+03,6.247470999999999549e+03
2.301148999999999887e+03,3.897000000000000000e+03,6.238519000000000233e+03
2.300550000000000182e+03,3.896849999999999909e+03,6.234162000000000262e+03
2.301000000000000000e+03,3.895349999999999909e+03,6.243841999999999643e+03
2.301000000000000000e+03,3.896550000000000182e+03,6.249167000000000371e+03
2.301750000000000000e+03,3.897148999999999887e+03,6.250858000000000175e+03
2.300849999999999909e+03,3.897148999999999887e+03,6.243600000000000364e+03
2.301750000000000000e+03,3.896699999999999818e+03,6.246746000000000095e+03
2.301300000000000182e+03,3.896398999999999887e+03,6.244085000000000036e+03
2.301599999999999909e+03,3.896550000000000182e+03,6.236823999999999614e+03
2.301000000000000000e+03,3.896699999999999818e+03,6.234886999999999716e+03
2.301300000000000182e+03,3.896699999999999818e+03,6.235130000000000109e+03
2.301000000000000000e+03,3.897449999999999818e+03,6.239244999999999891e+03
2.301300000000000182e+03,3.896398999999999887e+03,6.248439999999999600e+03
2.300550000000000182e+03,3.897148999999999887e+03,6.234648000000000138e+03
2.300099999999999909e+03,3.897148999999999887e+03,6.243841999999999643e+03
2.300250000000000000e+03,3.896699999999999818e+03,6.242873999999999796e+03
2.301000000000000000e+03,3.896699999999999818e+03,6.247712000000000444e+03
2.301000000000000000e+03,3.896699999999999818e+03,6.245778000000000247e+03
2.300398999999999887e+03,3.896099999999999909e+03,6.248681999999999789e+03
2.300849999999999909e+03,3.897148999999999887e+03,6.251100999999999658e+03
2.300699999999999818e+03,3.896550000000000182e+03,6.246988999999999578e+03
2.301000000000000000e+03,3.896250000000000000e+03,6.246746000000000095e+03
2.300398999999999887e+03,3.897449999999999818e+03,6.246988999999999578e+03
2.300398999999999887e+03,3.895648999999999887e+03,6.249408000000000357e+03
2.301300000000000182e+03,3.897750000000000000e+03,6.259814999999999600e+03
2.301000000000000000e+03,3.896699999999999818e+03,6.256668999999999869e+03
2.301449999999999818e+03,3.896099999999999909e+03,6.253038999999999760e+03
2.300849999999999909e+03,3.896849999999999909e+03,6.236097999999999956e+03
2.302050000000000182e+03,3.897750000000000000e+03,6.249167000000000371e+03
2.301750000000000000e+03,3.897750000000000000e+03,6.243359000000000378e+03
2.301300000000000182e+03,3.896099999999999909e+03,6.242631999999999607e+03
2.300550000000000182e+03,3.896550000000000182e+03,6.241905999999999949e+03
2.302800000000000182e+03,3.897300000000000182e+03,6.247230999999999767e+03
2.301148999999999887e+03,3.896099999999999909e+03,6.254489999999999782e+03
